cod_cliente,data_cadastro,data_primeira_compra,uf,cidade
64464,20111109,20111111,0,0
64480,20111109,20111110,0,0
64512,20111109,20111110,0,0
64528,20111109,20111110,0,0
64880,20111124,20111128,0,9
64896,20111124,20111128,0,9
64944,20111125,20111125,0,18
65104,20111129,20111130,0,33
65152,20111130,20111205,0,19
65168,20111130,20111201,0,0
65248,20111205,20111206,0,7
65344,20111207,20111207,0,40
65408,20111208,20111209,0,0
65568,20111215,20111215,0,41
65744,20120109,20120111,0,0
66016,20120127,20120127,0,39
66080,20120201,20120201,0,0
66160,20120208,20120209,0,0
66272,20120209,20120209,0,0
66352,20120210,20120213,0,11
66480,20120228,20120314,0,5
66528,20120302,20120305,0,3
66640,20120307,20120309,0,0
66672,20120308,20120309,0,0
66736,20120312,20120312,0,15
67008,20120321,20120321,0,3
67056,20120323,20120323,0,10
67088,20120323,20120323,0,25
67216,20120329,20120330,0,32
67232,20120329,20120330,0,2
67280,20120404,20120405,0,0
67328,20120411,20120411,0,0
67488,20120420,20120423,0,10
67504,20120420,20120420,0,18
67600,20120425,20120502,0,3
67728,20120503,20120504,0,9
67744,20120503,20120503,0,0
67776,20120503,20120515,0,0
67856,20120510,20120514,0,0
67920,20120511,20120515,0,0
68048,20120516,20120516,0,9
68096,20120516,20120516,0,30
68128,20120516,20120518,0,3
68192,20120518,20120522,0,11
68272,20120518,20120522,0,11
68384,20120525,20120528,0,0
68464,20120525,20120529,0,2
68784,20120530,20120531,0,6
68832,20120531,20120601,0,0
69040,20120606,20120606,0,0
69424,20120614,20120618,0,9
69664,20120619,20120806,0,0
69808,20120621,20120904,0,0
69824,20120621,20120823,0,0
69840,20120621,20120723,0,0
69872,20120621,20130125,0,0
69888,20120621,20120810,0,0
70000,20120621,20120627,0,3
70288,20120625,20150617,0,3
70400,20120629,20120703,0,0
70432,20120629,20120703,0,0
70592,20120629,20120702,0,12
70656,20120629,20120702,0,3
70672,20120629,20120702,0,12
70800,20120704,20120709,0,11
71024,20120709,20120709,0,8
71408,20120712,20120713,0,0
71680,20120716,20120717,0,0
71712,20120717,20120717,0,0
71776,20120718,20120718,0,15
71808,20120719,20120719,0,5
71920,20120719,20120720,0,0
72000,20120720,20120720,0,10
72064,20120723,20120723,0,11
72224,20120725,20120730,0,0
72304,20120731,20120731,0,0
72384,20120802,20120806,0,8
72432,20120802,20120806,0,12
72640,20120807,20120808,0,3
72656,20120807,20120808,0,3
72672,20120808,20120808,0,3
72704,20120809,20120809,0,9
72880,20120815,20120816,0,0
72992,20120816,20120817,0,0
73056,20120817,20120821,0,25
73168,20120820,20120823,0,11
73200,20120820,20120823,0,11
73312,20120823,20120827,0,8
73344,20120824,20120824,0,9
73616,20120831,20120903,0,11
74224,20120921,20120921,0,9
74272,20120921,20120921,0,9
74416,20120928,20121001,0,0
74752,20121008,20121009,0,0
74960,20121015,20121016,0,11
75024,20121017,20121018,0,9
75056,20121018,20121019,0,0
75072,20121019,20121019,0,0
75248,20121025,20121025,0,42
75264,20121025,20121025,0,42
75280,20121025,20121025,0,42
75328,20121026,20121031,0,18
75408,20121030,20121030,0,0
75632,20121106,20121106,0,0
75664,20121109,20121112,0,3
75728,20121112,20121112,0,0
75952,20121116,20121119,0,0
76000,20121116,20121116,0,18
76240,20121122,20121126,0,42
76320,20121123,20121127,0,0
76528,20121129,20121204,0,0
76560,20121130,20121204,0,0
76704,20121212,20121213,0,21
76960,20130110,20130111,0,42
77264,20130129,20130130,0,3
77360,20130206,20130206,0,12
77536,20130214,20130218,0,0
77792,20130222,20130222,0,0
78064,20130320,20130812,0,0
78224,20130328,20130328,0,2
78368,20130405,20140314,0,19
78592,20130418,20130419,0,0
78624,20130419,20130419,0,32
78640,20130419,20130419,0,2
78976,20130506,20130507,0,11
79072,20130509,20130510,0,9
79120,20130510,20130513,0,0
79216,20130516,20130521,0,0
79296,20130517,20130517,0,14
79328,20130517,20130521,0,0
79392,20130520,20130521,0,0
79488,20130523,20130528,0,0
79552,20130524,20130528,0,0
79568,20130524,20130528,0,0
79888,20130607,20130607,0,18
79936,20130610,20130611,0,0
79968,20130611,20130611,0,0
80240,20130614,20130619,0,0
80432,20130619,20130619,0,0
80480,20130621,20130809,0,2
80624,20130625,20130625,0,0
80672,20130626,20130627,0,0
80784,20130627,20130628,0,0
80800,20130701,20130703,0,3
80848,20130702,20161110,0,0
80864,20130702,20141218,0,0
80896,20130703,20130704,0,0
81040,20130704,20130709,0,0
81056,20130704,20130709,0,0
81088,20130704,20130710,0,0
81200,20130710,20130710,0,0
81248,20130711,20130819,0,0
81264,20130711,20130715,0,0
81408,20130718,20130723,0,0
81440,20130718,20130723,0,0
81472,20130719,20130719,0,25
81536,20130724,20130725,0,0
81600,20130725,20130725,0,0
81680,20130725,20130726,0,15
81792,20130731,20130731,0,0
81840,20130802,20180820,0,3
81872,20130802,20130808,0,0
81968,20130806,20130808,0,0
82144,20130809,20130812,0,14
82208,20130813,20130814,0,3
82288,20130816,20130819,0,42
82400,20130820,20130820,0,0
82416,20130821,20130822,0,0
82496,20130823,20130823,0,25
82544,20130823,20130823,0,21
82624,20130830,20130830,0,20
82672,20130904,20130905,0,0
82688,20130904,20130905,0,0
83072,20130913,20130916,0,0
83200,20130925,20131009,0,0
83232,20130925,20130925,0,0
83424,20131001,20131001,0,0
83520,20131004,20131004,0,16
83616,20131008,20131009,0,3
83664,20131008,20131008,0,0
83680,20131009,20131009,0,0
83792,20131009,20131009,0,6
83824,20131010,20131010,0,0
83856,20131010,20131010,0,0
83952,20131011,20131014,0,11
84304,20131021,20131023,0,29
84320,20131021,20131023,0,43
84368,20131021,20131029,0,29
84400,20131022,20131023,0,3
84432,20131023,20131105,0,3
84512,20131024,20131029,0,29
84528,20131024,20131028,0,0
84640,20131029,20131029,0,44
84880,20131106,20131106,0,9
85040,20131108,20131111,0,8
85136,20131111,20131112,0,0
85152,20131112,20131112,0,0
85328,20131121,20131121,0,0
85392,20131125,20131128,0,40
85696,20131205,20131209,0,0
85808,20131213,20131213,0,0
85824,20131213,20131216,0,0
85856,20131216,20131217,0,0
85888,20131218,20140115,0,0
85904,20131218,20131220,0,0
86016,20140108,20140109,0,5
86144,20140114,20140120,0,3
86240,20140115,20140115,0,9
86288,20140117,20140120,0,0
86320,20140123,20140127,0,3
86384,20140124,20140124,0,2
86448,20140127,20140129,0,3
86544,20140205,20140205,0,0
86592,20140214,20140217,0,0
86640,20140221,20150119,0,2
86720,20140227,20140318,0,0
86768,20140228,20140228,0,2
86896,20140306,20140310,0,12
86992,20140317,20140318,0,0
87040,20140321,20140324,0,25
87072,20140321,20140324,0,25
87120,20140321,20140324,0,25
87136,20140321,20140324,0,25
87184,20140321,20140324,0,25
87200,20140321,20140324,0,25
87232,20140321,20140324,0,25
87456,20140328,20140331,0,35
87472,20140328,20140609,0,14
87536,20140331,20140401,0,0
87616,20140404,20140404,0,22
87696,20140409,20140410,0,11
87776,20140411,20140609,0,14
87792,20140411,20140411,0,14
87808,20140411,20140411,0,14
87904,20140411,20140527,0,14
87984,20140416,20140417,0,0
88000,20140417,20140417,0,11
88064,20140424,20140425,0,10
88256,20140502,20140502,0,19
88400,20140509,20140512,0,22
88528,20140519,20140519,0,0
88640,20140523,20140523,0,18
88672,20140527,20140527,0,14
88784,20140530,20140530,0,25
88848,20140606,20140606,0,0
88928,20140609,20140611,0,0
89008,20140613,20140617,0,0
89088,20140616,20140616,0,11
89232,20140620,20140620,0,0
89312,20140626,20140630,0,0
89328,20140626,20140627,0,13
89408,20140630,20140701,0,0
89568,20140703,20140704,0,0
89968,20140711,20140716,0,3
90160,20140723,20140724,0,0
90336,20140801,20140804,0,0
90352,20140804,20140805,0,14
90448,20140808,20170530,0,19
90496,20140808,20140812,0,0
90704,20140825,20140827,0,0
90720,20140825,20140827,0,0
90976,20140924,20140924,0,45
90992,20140924,20140924,0,46
91008,20140924,20140924,0,46
91104,20140925,20140925,0,0
91120,20140925,20140925,0,0
91216,20140926,20140929,0,0
91280,20140926,20140926,0,21
91344,20140926,20140926,0,21
91408,20140930,20141024,0,8
91440,20141001,20141001,0,0
91456,20141002,20141009,0,12
91536,20141003,20141003,0,0
91552,20141003,20141003,0,19
91568,20141003,20141017,0,19
91664,20141008,20141008,0,0
91696,20141008,20141008,0,0
91728,20141014,20141014,0,46
91776,20141014,20141014,0,46
91824,20141014,20141014,0,46
91904,20141017,20141017,0,0
92016,20141024,20180831,0,47
92208,20141024,20180831,0,47
92272,20141024,20170420,0,47
92416,20141030,20141030,0,0
92480,20141110,20141208,0,11
92720,20141128,20141128,0,21
92848,20141211,20150109,0,0
92896,20141216,20141218,0,0
92944,20141218,20141222,0,0
92976,20141222,20141222,0,48
93040,20150109,20150112,0,17
93072,20150113,20150113,0,12
93184,20150121,20150121,0,5
93328,20150129,20150129,0,0
93376,20150130,20150205,0,46
93440,20150212,20150212,0,0
93456,20150216,20150216,0,12
93760,20150310,20150311,0,3
93792,20150311,20150311,0,9
93840,20150316,20150316,0,18
93888,20150316,20150316,0,18
93984,20150320,20170310,0,2
94112,20150401,20150402,0,0
94224,20150402,20150402,0,0
94256,20150406,20150407,0,0
94336,20150410,20150410,0,0
94352,20150410,20150410,0,22
94432,20150414,20150414,0,0
94672,20150422,20150422,0,14
94816,20150423,20151123,0,0
94896,20150428,20150428,0,19
95520,20150515,20150518,0,18
95568,20150515,20150518,0,25
95584,20150515,20150518,0,25
95840,20150519,20150529,0,10
95872,20150519,20150519,0,0
96144,20150521,20150608,0,18
96336,20150525,20150525,0,0
96384,20150525,20150615,0,0
96400,20150525,20180906,0,18
96544,20150528,20150603,0,0
96656,20150528,20160128,0,0
96784,20150529,20150601,0,46
96880,20150529,20160127,0,49
97152,20150602,20170317,0,19
97216,20150602,20150703,0,18
97344,20150602,20150602,0,49
97680,20150605,20150626,0,19
97776,20150605,20151117,0,0
97904,20150605,20151016,0,50
98096,20150605,20150608,0,2
98864,20150611,20190524,0,22
98944,20150611,20150615,0,51
99008,20150611,20150611,0,0
99136,20150612,20150615,0,51
99216,20150612,20150908,0,51
99360,20150612,20160426,0,52
99648,20150615,20150617,0,0
99696,20150615,20150618,0,0
99888,20150615,20150615,0,51
100416,20150619,20150619,0,10
100448,20150619,20150623,0,0
101328,20150624,20150624,0,0
101712,20150626,20150626,0,18
102976,20150702,20160205,0,0
103024,20150702,20150708,0,0
103344,20150702,20150918,0,11
103552,20150706,20150708,0,0
